Source,Target
Many companies are jumping on_the_bandwagon.,Nhiều công ty đang chạy theo xu hướng.
He got_home_all_in_one_piece despite the storm,Anh ấy đã về nhà trọn vẹn mặc dù có cơn bão.
He didn't_bat_an_eye when he realised he failed the exam.,Anh ấy không bất ngờ khi anh ấy nhận ra anh đã trượt kì thi.
Working from home gives me the_best_of_both_worlds.,Làm việc tại nhà mang lại cho tôi lợi ích từ cả hai phía.
I think I bit_off_more_than_I_could_chew with this project.,Tôi nghĩ mình đã ôm đồm quá nhiều với dự án này.
Better_make_hay_while_sun_shines!,Việc hôm nay chớ để ngày mai!
The noise caused all the neighbors to go_nuts.,Cái tiếng ồn đó đã làm tất cả hàng xóm phát điên.
We're like chalks_and_cheese,Chúng tôi khác biệt hoàn toàn
Passing this test will be like shooting_fish_in_a_barrel,Vược qua bài kiểm tra này sẽ rất dễ dàng.
We were in_the_same_boat during the crisis.,Chúng tôi cùng cảnh ngộ trong thời kỳ khủng hoảng.
Let’s get_the_ball_rolling on this project.,	Hãy bắt đầu dự án này thôi.
He passed the exam by_the_skin_of_his_teeth.,Anh ấy vừa đủ điểm để qua kỳ thi.
Never_in_a_million_years did I think that I'd actually win the lottery!,Tôi không thể nào ngờ rằng tôi đã trúng sổ số!
This problem is getting_out_of_hand.,Vấn đề này đang trở nên mất kiểm soát.
She was caught_red-handed stealing the book.,Cô ấy bị bắt quả tang đang ăn cắp sách.
He bent_over_backwards to help her.,	Anh ấy đã cố gắng hết sức để giúp cô ấy.
She gave me the_cold_shoulder at the party,Cô ấy phớt lờ tôi tại bữa tiệc
"I can't drive, I had_one_too_many","Tôi không lái được, tôi đã uống quá nhiều."
Her doctor said she was fit_as_a_fiddle.,Bác sĩ của cô ta nói cô ấy rất khỏe mạnh
I meet him once_in_a_blue_moon,Tôi rất hiềm khi gặp anh ấy.
He is really a_bad_apple.,Anh ta thực sự là một người tồi.
He was at_death's_door after his heart attack.,Anh ấy đã cận kề cái chết sau cơn đau tim
Don't beat about the bush - get to the point!,Đừng vòng vo nữa – hãy đi thẳng vào vấn đề!
I always have so much fun when Katie’s around—she’s a_barrel_of_laughs!,Tôi luôn cảm thấy rất vui khi có Katie ở bên—cô ta luôn mang lại tiếng cười!
"I’m really_in_a_pickle. I spent all the money I had saved, and I have no way to pay next semester’s tuition bill.",Tôi thực sự đang gặp rắc rối. Tôi đã tiêu hết tiền tiết kiệm của mình và tôi không có cách nào để trả tiền cho học kỳ tới.
Don’t_judge_a_book_by_its_cover,Đừng nhìn mặt bắt hình dong
The_ball_is_in_your_court_now.,	Quyết định giờ là ở bạn.
Don't bring up old arguments; let_sleeping_dogs_lie.,Đừng khơi lại chuyện cũ; hãy để quá khứ yên.
His diet went_out_the_window during the holidays.,Buổi ăn kiêng của anh ta biến mất trong kỳ nghỉ.
He kicked_the_bucket last year.,Ông ấy đã qua đời năm ngoái
One_drop_of_poison_infects_the_whole_of_wine.,Một con sâu làm rầu nồi canh.
He finally apologized—better_late_than_never.,Cuối cùng anh ấy cũng xin lỗi—muộn còn hơn không.
The new engine design is our ace_in_the_hole – but we have to keep it secret from our competitors.,Cái động cơ mới của ta là lợi thế bí mật của ta – ta phải giữ bí mật với đối thủ cạnh tranh
"Better leave her alone, don't_fuel_the_fire!","Để cô ấy yên, đừng có châm dầu vào lửa!"
"You have to work hard—no pain, no gain",Bạn phải làm việc chăm chỉ—không đau thì không thành công.
It was the_last_straw that made her quit.,Đó là giọt nước tràn ly khiến cô ấy bỏ việc.
Gratitude_is_a_sign_of_noble_souls,Ăn quả nhớ kẻ chồng cây.
He had_egg_on_his_face after claiming he could climb the tree but then having to give up.,Anh ấy đã rất xấu hổ sau khi tuyên bố mình có thể trèo cây nhưng sau đó lại phải bỏ cuộc.
I’m all_ears — tell me what happened!,Tôi đang chăm chú nghe đây — kể tôi nghe đi!
"I’m afraid that if we don’t find a solution, we’ll go_belly_up within a year.","Tôi sợ rằng nếu chúng ta không tìm ra được một giải pháp, ta sẽ phá sản trong vòng một năm."
Break_a_leg in your performance!,Chúc may mắn trong buổi diễn nhé!
The plan went_down_in_flames.,Kế hoạch thành ra thảm bại.
I always have so much fun when Katie’s around—she’s a_barrel_of_laughs!,Tôi luôn cảm thấy rất vui khi có Katie ở bên—cô ta luôn mang lại tiếng cười!
I have been looking here_and_there for the gift I boụght for my girlfriend,Tôi đã tìm khắp mọi nơi để mua món quà cho bạn gái tôi
My mother is back_on_her_feet after being sick for a week.,Mẹ tôi đã hồi phục trọn vẹn sau khi bị ốm trong một tuần.
He's in_hot_water for missing the deadline.,Anh ấy gặp rắc rối vì trễ hạn
"Although he just came, he already knew which_way_the_wind_blows.","Mặc dù anh ta vừa tới, nhưng anh ta đã có thể biết rằng chuyện gì đang sảy ra."
You’re barking_up_the_wrong_tree.,Bạn đang hiểu nhầm rồi.
splitting_headache,Đau đầu như búa bổ
It was a_blessing_in_disguise.,Đó là vận may trong cái rủi.
He was paid under_the_table.,Anh ấy được trả tiền không chính thức
I suddenly lose touch with Mina,Tôi đột nhiên mất liên lạc với Mina.
We can get the documents you need_chop_chop.,Chúng tôi có thể lấy tài liệu của bạn một cách nhanh chóng
He finally apologized—better_late_than_never.,Cuối cùng anh ấy cũng xin lỗi—muộn còn hơn không.
"Losing the job was tough, but every cloud has a_silver_lining.","Mất việc thật khó khăn, nhưng trong cái rủi có cái may."
Sophia made me trusted her. But then she stabbed_me_in_the_back ,Sophia đã làm tôi tin tưởng cô ấy. Rồi cô ta phản bội tôi.
He told us to recount the story in_a_nutshell,Anh ấy bảo chúng tôi kể lại câu chuyện một cách ngắn gọn.
Jim is a_straight_arrow,Jim là một người đáng tin cậy
She spilled_the_beans about the wedding plans.,Cô ấy đã tiết lộ kế hoạch đám cưới.
I will be snowed_under for a few days.,Tôi sẽ rất bận trong vài ngày
I take_something_for_granted that I woụld find the perfect job.,Tôi đã cho rằng mình sẽ tìm được công việc hoàn hảo mà không cần cố gắng.
Don’t bother him when_he’s_in_his_cups.,Đừng làm phiền anh ấy khi anh ấy đang say rượu.
I think he's off_his_trolley.,Tôi nghĩ anh ta bị điên rồi.
Buying that car cost_me_an_arm_and_a_leg.,Mua chiếc xe đó khiến tôi tốn cả gia tài.
The drink is on the house tonight,Tối nay quán đãi đồ uống miễn phí.
"There are just a few problems to_iron_out, then we'll be ready","Chỉ cần giải quyết một số vấn đề, rồi chúng ta sẽ sẵn sàng."
You should judge him by his work.,Bạn nên đánh giá anh ấy qua công việc của anh ấy.
Like_father_ like_son,Cha nào con nấy
"When Mina was in her teens she looked ordinary, but in her early 20s she turned_into_a_real_knockout! ","Khi Mina còn ở tuổi thiếu niên, cô ta nhìn rất bình thường nhưng ở độ tuổi 20 cô ấy biến thành một người phụ nữ rất xinh đẹp"
At the end she won only_by_a_whisker,Cô ấy đã thắng với một khoảng cách rất ngắn.
"Sure, I’ll go out with Cynthia again. When_pigs_fly ",Tôi sẽ đi chơi với Cynthia khi nào lợn mọc cánh mà bay.
"When I found out he crashed my car, I hit_the_roof.","Sau khi tôi biết được anh ấy đã đâm xe tôi, tôi đã vô cùng tức giận"
She spilled_the_beans about her secret to her mom.,Cô ấy đã tiết lộ bí mật của mình cho mẹ cô.
We're like chalks_and_cheese,Chúng tôi khác biệt hoàn toàn
I have_a_bun_in_the_oven.,Tôi đã có bầu.
We had a_whale_of_a_time on holiday.,Chúng tôi đã có một kỳ nghỉ tuyệt vời
He smokes_like_a_chimney.,Anh ấy hút thuốc rất nhiều.
I missed_the_boat on investing in that company.,Tôi đã bỏ lỡ cơ hội đầu tư vào công ty đó.
Better_make_hay_while_sun_shines!,Việc hôm nay chớ để ngày mai!
She’s a_dead_ringer for her older sister.,Cô ấy nhìn rất giống chị của cô ta.
When are you and Jenny going to tie_the_knot?,Lúc nào bạn và Jenny sẽ cưới nhau?
He sensed that there were multiple_clouds_on_the_horizon.,Anh ấy cảm thấy rằng nó vẫn còn rất nhiều vấn đề.
"Losing the job was tough, but every cloud has a_silver_lining.","Mất việc thật khó khăn, nhưng trong cái rủi có cái may."
She was caught_red-handed stealing the book.,Cô ấy bị bắt quả tang đang ăn cắp sách.
Break_a_leg in your performance!,Chúc may mắn trong buổi diễn nhé!
"Once_upon_a_time, there was a girl living inside that forest.","Ngày xưa, có một cô gái sống trong khu rừng đó."
There is no smoke without fire.,Không có lửa sao có khói.
It’ll be_a_cold_day_in_July when our team wins the championship.,Nhóm chúng tôi sẽ không bao giờ giành được chức vô địch.
He was looking_a_little_green around the gills when he came to work today.,Anh ấy trông hơi ốm khi anh đến nơi làm việc hôm nay
He’s out_of_the_house_of_correction.,Anh ta đã ra tù.
He kicked_the_bucket last night.,Ông ấy đã qua đời tối qua.
The plan is up_in_the_air right now.,Kế hoạch hiện vẫn chưa chắc chắn.
I ẹnjoy going here once_in_a_while,Tôi thích đến đây thỉnh thoảng.
He always gives_me_a_hand with repairing broken things,Anh ấy luôn giúp đỡ tôi sửa chữa đồ bị hỏng.
We were ready to pack oụr bags and go on vacation at_the_drop_of_the_hat,Chúng tôi sẵn sàng thu xếp hành lý và đi nghỉ ngay lập tức.
Don’t cry_over_spilled_milk.,	Đừng khóc vì chuyện đã qua.
He is_right_as_rain. We should sell these old funiture,Ý anh ấy rất đúng. Chúng ta nên bán những đò nột thất cũ kĩ này.
He didn't_bat_an_eye when he realised he failed the exam.,Anh ấy không bất ngờ khi anh ấy nhận ra anh đã trượt kì thi.
"Do whatever you want, I do not give_a_fug.","Bạn làm gì cũng được, tôi không quan tâm."
 it's time to hit_the_books ,Đã đến lúc học rồi.
"Losing the job was tough, but every cloud has a_silver_lining.","Mất việc thật khó khăn, nhưng trong cái rủi có cái may."
I always have so much fun when Katie’s around—she’s a_barrel_of_laughs!,Tôi luôn cảm thấy rất vui khi có Katie ở bên—cô ta luôn mang lại tiếng cười!
The new scooter surely will knock_your_socks_off!,Cái xe máy mới sẽ chắc chắn làm bạn kinh ngạc.
You're playing_with_fire if you keep driving with that speed!,Bạn đang chơi với lửa khi bạn còn lái xe với tốc độ đó!
She's really on_the_ball with her new project.,Cô ấy rất nhanh nhạy với dự án mới.
 I have to hit_the_books this weekend — I have two exams next week,"Tôi phải học cuối tuần này, tuần sau tôi có 2 bài kiểm tra."
Like_father_ like_son,Cha nào con nấy
You will require a_snowball’s_chance_in_hell to pass this exam.,Bạn sẽ cần một cơ hội ngàn vàng để vượt qua kỳ thi này.
"I'm sory to hear that you failed the exam, better_luck_next_time.","Tôi rất tiếc khi nghe rằng bạn đã trượt, thôi thì thua keo này ta bày keo khác."
"Make_up_your_mind, you can't have it both ways","Hãy quyết định đi, bạn không thể chọn cả hai được."
It was her chance to speak and she was getting_cold_feet.,Đó là cơ hội để cô ấy lên tiếng nhưng cô ấy lại cảm thấy lo lắng.
The new scooter surely will knock_your_socks_off!,Cái xe máy mới sẽ chắc chắn làm bạn kinh ngạc.
I missed_the_boat on investing in that company.,Tôi đã bỏ lỡ cơ hội đầu tư vào công ty đó.
At the end she won only_by_a_whisker,Cô ấy đã thắng với một khoảng cách rất ngắn.
break_a_leg,chúc may mắn
I have been looking here_and_there for the gift I boụght for my girlfriend,Tôi đã tìm khắp mọi nơi để mua món quà cho bạn gái tôi
I’m feeling_under_the_weather today.,	Hôm nay tôi thấy không khỏe.
Like_father_ like_son,Cha nào con nấy
He was paid under_the_table.,Anh ấy được trả tiền không chính thức
I ẹnjoy going here once_in_a_while,Tôi thích đến đây thỉnh thoảng.
I have been looking here_and_there for the gift I boụght for my girlfriend,Tôi đã tìm khắp mọi nơi để mua món quà cho bạn gái tôi
Could you lend_me_a_hand with this piano?,Bạn có thể giúp tôi một tay với cái piano này không?
He had_egg_on_his_face after claiming he could climb the tree but then having to give up.,Anh ấy đã rất xấu hổ sau khi tuyên bố mình có thể trèo cây nhưng sau đó lại phải bỏ cuộc.
